"","feature","task","shap_phi","fname","group","taxa"
"1636","bio_5",46,3.48026459496622,"TMaxWarmM","temperature","Lufest"
"1637","bio_6",46,51.0690176653499,"TMinColdM","temperature","Lufest"
"1638","bio_7",46,85.8507120252356,"TRngY","temperature","Lufest"
"1639","bio_8",46,39.7715135731311,"TMeanWetQ","temperature","Lufest"
"1640","bio_9",46,25.3888819623847,"TMeanDryQ","temperature","Lufest"
"1641","bs_top",46,28.487678806224,"bs_top","hydro","Lufest"
"1642","Carbone",46,1.54948208646668,"C","physchem","Lufest"
"1643","cec_top",46,30.6293221544955,"cec_top","hydro","Lufest"
"1644","clay",46,6.31830013863095,"clay","structural","Lufest"
"1645","clc",46,43.9974741564821,"clc","landcover","Lufest"
"1646","CN",46,32.9180467064048,"CN","physchem","Lufest"
"1647","crusting",46,27.7011472939796,"crusting","structural","Lufest"
"1648","dgh",46,26.0458567065135,"dgh","structural","Lufest"
"1649","dimp",46,12.7302995320124,"dimp","structural","Lufest"
"1650","erodi",46,51.2734991532815,"erodi","structural","Lufest"
"1651","parmado",46,21.9627249001394,"parmado","structural","Lufest"
"1652","pd_top",46,28.6740033419125,"pd_top","structural","Lufest"
"1653","pH",46,9.37385063639127,"pH","physchem","Lufest"
"1654","proxi_eau_fast",46,0.787406966572839,"proxi_eau_fast","hydro","Lufest"
"1655","silt",46,17.0098810342955,"silt","structural","Lufest"
"1656","wr",46,10.0918840347639,"wr","hydro","Lufest"
"1657","awc_top",47,20.2805884467391,"awc_top","hydro","Lufrie"
"1658","bio_1",47,12.9286194679933,"TMeanY","temperature","Lufrie"
"1659","bio_10",47,10.8145233711926,"TMeanWarmQ","temperature","Lufrie"
"1660","bio_11",47,27.354388673692,"TMeanColdQ","temperature","Lufrie"
"1661","bio_12",47,8.06964789221995,"PTotY","precipitation","Lufrie"
"1662","bio_13",47,8.00516451186501,"PWetM","precipitation","Lufrie"
"1663","bio_14",47,38.3864050220419,"PDryM","precipitation","Lufrie"
"1664","bio_15",47,26.9930858072778,"PSeason","precipitation","Lufrie"
"1665","bio_16",47,12.5593756640004,"PWetQ","precipitation","Lufrie"
"1666","bio_17",47,45.8550207839534,"PDryQ","precipitation","Lufrie"
"1667","bio_18",47,41.610022889683,"PWarmQ","precipitation","Lufrie"
"1668","bio_19",47,20.8322021649173,"PColdQ","precipitation","Lufrie"
"1669","bio_2",47,47.2139054708928,"TMeanRngD","temperature","Lufrie"
"1670","bio_3",47,95.1390284939529,"TIso","temperature","Lufrie"
"1671","bio_4",47,26.3530201361189,"TSeason","temperature","Lufrie"
"1672","bio_5",47,20.1085704465164,"TMaxWarmM","temperature","Lufrie"
"1673","bio_6",47,10.6635315342527,"TMinColdM","temperature","Lufrie"
"1674","bio_7",47,6.02130947995931,"TRngY","temperature","Lufrie"
"1675","bio_8",47,3.27444690252189,"TMeanWetQ","temperature","Lufrie"
"1676","bio_9",47,50.5342908759369,"TMeanDryQ","temperature","Lufrie"
